Processing molecule: uracil
Running with beta = 40
Running with l = 210
Starting Davidson with n_aux = 840, l_buffer = 410, lc = 212, thresh = 0.0015, max_iter = 500
Iter 1: V_size = 42, Converged = 0, ‖r‖ (largest λ) = 1.4440469943908738
Iter 2: V_size = 84, Converged = 0, ‖r‖ (largest λ) = 0.3472672833475846
Iter 3: V_size = 168, Converged = 0, ‖r‖ (largest λ) = 0.1630019671042047
Iter 4: V_size = 336, Converged = 0, ‖r‖ (largest λ) = 0.042939359637024006
Iter 5: V_size = 672, Converged = 0, ‖r‖ (largest λ) = 0.015942471674074914
Iter 6: V_size = 820, Converged = 0, ‖r‖ (largest λ) = 0.23462580022039534
EV   1 converged λ = -749.8089282675, ‖r‖ = 4.99e-10, stable for 3 iters
EV   2 converged λ = -724.1879245673, ‖r‖ = 3.39e-10, stable for 3 iters
EV   3 converged λ = -710.3254069804, ‖r‖ = 1.13e-09, stable for 3 iters
EV   4 converged λ = -673.8920704238, ‖r‖ = 1.13e-09, stable for 3 iters
EV   5 converged λ = -603.8764684415, ‖r‖ = 1.20e-09, stable for 3 iters
EV   6 converged λ = -582.3680621156, ‖r‖ = 2.12e-09, stable for 3 iters
EV   7 converged λ = -316.1675609730, ‖r‖ = 3.82e-08, stable for 3 iters
EV   8 converged λ = -307.0902136257, ‖r‖ = 7.61e-08, stable for 3 iters
EV   9 converged λ = -290.2336622755, ‖r‖ = 8.31e-08, stable for 3 iters
EV  10 converged λ = -289.1109191698, ‖r‖ = 6.27e-08, stable for 3 iters
Iter 7: V_size = 800, Converged = 10, ‖r‖ (largest λ) = 0.37770979000967103
Iter 8: V_size = 800, Converged = 10, ‖r‖ (largest λ) = 0.10297546366593827
Iter 9: V_size = 800, Converged = 10, ‖r‖ (largest λ) = 0.06535713362383172
EV  11 converged λ = -350.8904308789, ‖r‖ = 8.77e-13, stable for 3 iters
EV  12 converged λ = -263.9165850264, ‖r‖ = 3.51e-13, stable for 3 iters
EV  13 converged λ = -171.9826219761, ‖r‖ = 2.35e-13, stable for 3 iters
EV  14 converged λ = -169.0410463712, ‖r‖ = 2.68e-13, stable for 3 iters
EV  15 converged λ = -160.2432559361, ‖r‖ = 2.31e-13, stable for 3 iters
EV  16 converged λ = -156.7877549373, ‖r‖ = 3.12e-13, stable for 3 iters
EV  17 converged λ = -148.5741614012, ‖r‖ = 3.41e-13, stable for 3 iters
EV  18 converged λ = -146.4803753750, ‖r‖ = 2.72e-13, stable for 3 iters
EV  19 converged λ = -142.5961085248, ‖r‖ = 3.44e-13, stable for 3 iters
EV  20 converged λ = -141.2840283932, ‖r‖ = 5.42e-13, stable for 3 iters
EV  21 converged λ = -139.5571640551, ‖r‖ = 4.27e-13, stable for 3 iters
EV  22 converged λ = -139.2908299391, ‖r‖ = 2.91e-13, stable for 3 iters
EV  23 converged λ = -113.6852309720, ‖r‖ = 1.07e-12, stable for 3 iters
EV  24 converged λ = -104.6012516221, ‖r‖ = 1.77e-12, stable for 3 iters
EV  25 converged λ = -103.0834965767, ‖r‖ = 2.11e-12, stable for 3 iters
EV  26 converged λ = -100.9545201478, ‖r‖ = 3.57e-12, stable for 3 iters
EV  27 converged λ = -97.9637660634, ‖r‖ = 2.77e-12, stable for 3 iters
EV  28 converged λ = -96.0767972760, ‖r‖ = 2.87e-12, stable for 3 iters
EV  29 converged λ = -93.0867001342, ‖r‖ = 2.82e-12, stable for 3 iters
EV  30 converged λ = -89.6165006468, ‖r‖ = 6.15e-12, stable for 3 iters
EV  31 converged λ = -86.3701742336, ‖r‖ = 6.68e-12, stable for 3 iters
EV  32 converged λ = -83.3961040171, ‖r‖ = 8.81e-12, stable for 3 iters
EV  33 converged λ = -81.2904744147, ‖r‖ = 1.05e-11, stable for 3 iters
EV  34 converged λ = -80.8383336085, ‖r‖ = 6.66e-12, stable for 3 iters
EV  35 converged λ = -80.2505054928, ‖r‖ = 9.71e-12, stable for 3 iters
EV  36 converged λ = -79.2527548521, ‖r‖ = 2.06e-11, stable for 3 iters
EV  37 converged λ = -77.4792859756, ‖r‖ = 1.16e-11, stable for 3 iters
EV  38 converged λ = -75.2149984271, ‖r‖ = 2.44e-11, stable for 3 iters
EV  39 converged λ = -73.1454938607, ‖r‖ = 1.61e-11, stable for 3 iters
EV  40 converged λ = -67.8367175345, ‖r‖ = 7.61e-11, stable for 3 iters
EV  41 converged λ = -63.6627206582, ‖r‖ = 6.77e-11, stable for 3 iters
EV  42 converged λ = -62.4638640278, ‖r‖ = 9.51e-11, stable for 3 iters
EV  43 converged λ = -59.5728367256, ‖r‖ = 7.59e-11, stable for 3 iters
EV  44 converged λ = -54.8757930591, ‖r‖ = 1.92e-10, stable for 3 iters
EV  45 converged λ = -47.3687841132, ‖r‖ = 1.91e-10, stable for 3 iters
EV  46 converged λ = -47.0605486154, ‖r‖ = 1.71e-10, stable for 3 iters
EV  47 converged λ = -45.9887647050, ‖r‖ = 4.24e-10, stable for 3 iters
EV  48 converged λ = -44.7813512367, ‖r‖ = 6.63e-10, stable for 3 iters
EV  49 converged λ = -43.7801174057, ‖r‖ = 7.47e-10, stable for 3 iters
EV  50 converged λ = -40.9329996030, ‖r‖ = 1.22e-09, stable for 3 iters
EV  51 converged λ = -37.6573840964, ‖r‖ = 1.91e-09, stable for 3 iters
EV  52 converged λ = -35.9346155872, ‖r‖ = 2.71e-09, stable for 3 iters
EV  53 converged λ = -34.6098417751, ‖r‖ = 3.04e-09, stable for 3 iters
EV  54 converged λ = -34.2382917833, ‖r‖ = 2.35e-09, stable for 3 iters
EV  55 converged λ = -34.1241137227, ‖r‖ = 3.48e-09, stable for 3 iters
EV  56 converged λ = -33.5823158808, ‖r‖ = 3.74e-09, stable for 3 iters
EV  57 converged λ = -32.5325087882, ‖r‖ = 4.69e-09, stable for 3 iters
EV  58 converged λ = -31.5013812232, ‖r‖ = 8.30e-09, stable for 3 iters
